county,city,total_fatal_crashes,total_injury_crashes,alcohol_involved_fatal,alcohol_involved_injury,pedestriannvolved_fatal,pedestrian_involved_injury,bicyclist_involved_fatal,bicyclist_involved_injury,motorcycle_involved_fatal,motorcycle_involved_injury
,Stockton,35,"1,649",7,129,15,139,6,104,3,60
,Tracy,3,302,1,30,1,15,0,20,1,17
,Unincorporated,57,"1,558",19,235,9,30,2,28,7,91
,,35,728,13,132,5,25,1,24,4,40
,,22,830,6,103,4,5,1,4,3,51
San Luis Obispo,,31,"1,043",11,137,8,62,0,79,3,85
,Arroyo Grande,2,62,2,9,0,7,0,4,1,4
,Atascadero,3,100,2,12,0,7,0,4,1,3
,Grover Beach,0,18,0,4,0,2,0,4,0,2
,Morro Bay,0,15,0,2,0,5,0,1,0,2
,Paso Robles,6,85,2,8,2,10,0,5,1,6
,Pismo Beach,0,53,0,6,0,0,0,1,0,3
,San Luis Obispo,3,195,2,18,3,19,0,40,0,15
,Unincorporated,17,515,3,78,3,12,0,20,0,50
,,9,217,1,42,2,11,0,13,0,28
,,8,298,2,36,1,1,0,7,0,22
San Mateo,,27,"2,953",5,305,10,250,1,235,6,183
,Atherton,0,39,0,2,0,1,0,14,0,0
,Belmont,1,76,0,14,1,7,0,5,0,5
,Brisbane,0,38,0,4,0,1,0,2,0,3
,Broadmoor,0,2,0,1,0,1,0,0,0,0
,Burlingame,1,108,0,7,1,4,0,5,0,4
,Colma,0,1,0,0,0,0,0,0,0,0
,Daly City,2,285,0,30,0,45,0,7,0,14
,East Palo Alto,0,130,0,15,0,9,0,19,0,10
,Foster City,0,90,0,6,0,3,0,5,0,6
,Half Moon Bay,0,20,0,4,0,1,0,1,0,4
,Hillsborough,0,13,0,1,0,0,0,2,0,0
,Menlo Park,4,208,2,15,1,9,0,28,1,7
,Millbrae,0,62,0,5,0,10,0,4,0,0
,Pacifica,2,118,1,12,1,12,0,7,0,9
,Portola Valley,0,11,0,2,0,1,0,6,0,0
,Redwood City,2,366,0,41,2,26,0,42,0,23
,San Bruno,1,174,0,11,1,23,0,6,0,4
,San Carlos,0,73,0,6,0,2,0,8,0,3
,San Mateo,2,433,0,37,2,52,0,21,0,20
,South San Francisco,2,270,0,32,1,33,0,13,0,9
,Woodside,1,44,0,4,0,1,0,6,1,7
,Unincorporated,9,392,2,56,0,9,1,34,4,55
,,3,111,2,14,0,6,1,22,0,10
,,6,281,0,42,0,3,0,12,4,45
Santa Barbara,,33,"1,785",9,246,5,132,1,181,5,109
,Buellton,1,8,0,2,0,2,0,0,0,1
,Carpinteria,3,24,1,2,0,2,0,1,1,4
,Goleta,2,149,1,11,0,5,0,16,1,7
,Guadalupe,0,9,0,0,0,3,0,0,0,0
,Lompoc,1,114,0,15,1,12,0,16,0,5
,Santa Barbara,4,462,1,69,3,56,0,84,0,32
,Santa Maria,3,364,2,47,0,24,0,14,1,12
,Solvang,0,13,0,2,0,5,0,0,0,1
,Unincorporated,19,642,4,98,1,23,1,50,2,47
,,2,266,1,46,0,22,1,43,0,23
,,17,376,3,52,1,1,0,7,2,24
Santa Clara,,124,"7,621",34,769,43,566,8,637,8,420
,Campbell,2,126,0,20,1,15,0,16,0,5
,Cupertino,2,153,1,7,0,8,0,24,0,18
,Gilroy,2,232,1,28,0,16,0,17,0,6
,Los Altos,2,92,0,8,0,3,1,15,0,4
,Los Altos Hills,0,22,0,3,0,0,0,4,0,1
,Los Gatos,1,135,0,21,1,8,0,16,0,8
,Milpitas,3,287,0,23,2,15,0,14,0,19
,Monte Sereno,0,0,0,0,0,0,0,0,0,0
,Morgan Hill,2,137,1,14,1,8,0,4,1,19
,Mountain View,4,381,3,31,3,26,0,61,0,15
,Palo Alto,4,372,0,26,1,29,0,73,1,13
,San Jose,75,"3,929",18,433,30,362,7,257,3,160
,Santa Clara,4,380,2,39,0,28,0,31,0,36
,Saratoga,1,57,0,2,0,1,0,2,0,5
,Sunnyvale,3,593,2,47,0,37,0,68,1,43
,Unincorporated,19,725,6,67,4,10,0,35,2,68
,,4,228,2,27,3,9,0,31,0,20
,,15,497,4,40,1,1,0,4,2,48
Santa Cruz,,19,"1,136",7,206,5,80,2,134,4,106
,Capitola,1,13,0,0,1,0,0,5,0,1
,Santa Cruz,1,193,0,28,0,19,1,67,0,21
,Scotts Valley,0,16,0,2,0,0,0,5,0,1
,Watsonville,2,118,1,27,1,32,0,15,1,2
,Unincorporated,15,796,6,149,3,29,1,42,3,81
,,6,377,3,95,1,22,0,37,1,32
,,9,419,3,54,2,7,1,5,2,49
Shasta,,34,747,12,87,2,39,1,28,7,67
,Anderson,0,22,0,4,0,3,0,2,0,3
,Redding,9,374,5,32,2,30,0,24,2,28
,Shasta Lake,0,4,0,1,0,0,0,1,0,0
,Unincorporated,25,347,7,50,0,6,1,1,5,36
,,12,122,4,22,0,3,0,0,3,20
,,13,225,3,28,0,3,1,1,2,16
Sierra,,3,32,0,7,0,0,0,2,1,11
,Loyalton,0,1,0,0,0,0,0,1,0,0
,Unincorporated,3,31,0,7,0,0,0,1,1,11
,,0,8,0,4,0,0,0,0,0,2
,,3,23,0,3,0,0,0,1,1,9
Siskiyou,,9,241,1,32,1,8,0,5,1,21
,Dorris,0,0,0,0,0,0,0,0,0,0
,Dunsmuir,0,0,0,0,0,0,0,0,0,0
,Mount Shasta,0,6,0,1,0,0,0,0,0,0
,Tulelake,0,0,0,0,0,0,0,0,0,0
,Weed,0,7,0,0,0,0,0,0,0,0
,Yreka,0,23,0,3,0,5,0,1,0,4
,Unincorporated,9,205,1,28,1,3,0,4,1,17
,,4,94,1,17,0,3,0,4,0,11
,,5,111,0,11,1,0,0,0,1,6
Solano,,43,"1,911",12,169,11,91,2,55,5,131
,Benicia,4,66,2,5,2,8,0,0,1,3
,Dixon,2,43,1,6,1,2,0,1,0,4
,Fairfield,10,623,4,47,2,36,0,15,3,42
,Rio Vista,1,22,0,2,0,1,0,0,0,2
,Suisun City,1,70,0,12,0,7,1,4,0,3
,Vacaville,5,300,1,24,2,12,0,19,0,24
,Vallejo,10,509,1,35,3,25,1,13,1,24
,Unincorporated,10,278,3,38,1,0,0,3,0,29
,,1,54,0,11,0,0,0,1,0,7
,,9,224,3,27,1,0,0,2,0,22
Sonoma,,36,"2,261",11,308,13,126,3,153,2,131
,Cloverdale,0,9,0,0,0,1,0,1,0,1
,Cotati,0,38,0,9,0,2,0,1,0,2
,Healdsburg,2,32,0,8,0,5,1,5,0,1
,Petaluma,0,247,0,24,0,24,0,18,0,13
,Rohnert Park,0,108,0,7,0,7,0,12,0,6
,Santa Rosa,9,816,4,104,6,61,0,72,1,34
,Sebastopol,0,51,0,3,0,9,0,3,0,1
,Sonoma,1,21,1,2,0,3,0,2,0,1
,Windsor,1,38,0,4,1,0,0,1,0,2
,Unincorporated,23,901,6,147,6,14,2,38,1,70
,,17,453,5,93,5,9,1,31,1,35
,,6,448,1,54,1,5,1,7,0,35
Stanislaus,,63,"3,134",23,362,18,180,4,136,2,134
,Ceres,4,176,0,15,2,8,0,10,0,6
,Hughson,0,4,0,0,0,0,0,0,0,0
,Modesto,13,"1,454",7,145,6,114,1,87,0,43
,Newman,0,8,0,0,0,1,0,1,0,0
,Oakdale,1,63,1,6,0,4,0,1,0,3
,Patterson,0,35,0,4,0,3,0,3,0,1
,Riverbank,1,49,1,4,0,4,0,3,0,0
,Turlock,6,390,1,42,3,27,1,16,0,15
,Waterford,0,5,0,1,0,1,0,0,0,0
,Unincorporated,38,950,13,145,7,18,2,15,2,66
,,22,572,9,92,4,16,2,10,2,51
,,0,0,0,0,0,0,0,0,0,0
,,16,378,4,53,3,2,0,5,0,15
Sutter,,22,513,6,54,3,21,0,16,1,20
,Live Oak,0,22,0,1,0,0,0,1,0,1
,Yuba City,3,290,2,32,1,18,0,14,0,10
,Unincorporated,19,201,4,21,2,3,0,1,1,9
,,4,89,0,9,0,2,0,1,0,6
,,0,0,0,0,0,0,0,0,0,0
,,15,112,4,12,2,1,0,0,1,3
Tehama,,15,264,6,45,2,13,0,13,1,21
,Corning,0,1,0,0,0,0,0,0,0,1
,Red Bluff,2,67,2,9,1,9,0,11,0,3
,Unincorporated,13,196,4,36,1,4,0,2,1,17
,,7,93,3,21,1,4,0,2,1,9
,,6,103,1,15,0,0,0,0,0,8
Trinity,,8,84,3,14,0,3,0,3,2,12
,Unincorporated,8,84,3,14,0,3,0,3,2,12
,,2,21,0,7,0,1,0,2,0,3
,,6,63,3,7,0,2,0,1,2,9
Tulare,,60,"1,910",19,240,15,85,2,74,6,85
,Dinuba,1,0,1,0,1,0,0,0,0,0
,Exeter,0,18,0,2,0,4,0,1,0,1
,Farmersville,1,6,0,0,0,1,0,0,1,0
,Lindsay,0,38,0,7,0,2,0,3,0,0
,Porterville,2,259,1,26,1,25,0,22,0,4
,Tulare,8,87,1,14,4,8,0,4,1,6
,Visalia,9,454,4,46,3,29,2,30,0,20
,Woodlake,0,8,0,2,0,0,0,0,0,0
,Unincorporated,39,"1,040",12,143,6,16,0,14,4,54
,,22,632,7,94,3,13,0,9,0,32
,,17,408,5,49,3,3,0,5,4,22
Tuolumne,,12,389,5,65,1,12,1,9,4,49
,Sonora,2,41,1,1,0,7,1,3,0,3
,Unincorporated,10,348,4,64,1,5,0,6,4,46
,,2,187,2,40,0,1,0,5,1,26
,,8,161,2,24,1,4,0,1,3,20
Ventura,,43,"3,862",13,404,10,217,4,183,8,206
,Camarillo,2,317,1,26,0,15,0,16,1,15
,Fillmore,0,45,0,3,0,4,0,2,0,1
,Moorpark,1,92,0,10,1,8,0,0,0,7
,Ojai,1,30,0,2,1,1,0,7,0,1
,Oxnard,9,"1,028",3,117,3,83,3,51,1,38
,Port Hueneme,0,42,0,9,0,0,0,8,0,1
,Santa Paula,0,74,0,10,0,5,0,2,0,2
,Simi Valley,2,374,2,34,0,22,0,21,0,20
,Thousand Oaks,3,612,1,45,0,19,0,21,1,28
,Ventura,4,644,3,78,3,50,0,43,0,32
,Unincorporated,21,604,3,70,2,10,1,12,5,61
,,6,230,0,31,0,7,0,9,0,23
,,15,374,3,39,2,3,1,3,5,38
Yolo,,24,962,8,91,9,35,1,102,0,63
,Davis,1,220,0,13,0,8,0,59,0,13
,West Sacramento,8,291,3,26,6,13,1,23,0,19
,Winters,0,3,0,0,0,1,0,0,0,0
,Woodland,1,157,0,13,1,9,0,17,0,8
,Unincorporated,14,291,5,39,2,4,0,3,0,23
,,5,118,3,17,0,3,0,2,0,8
,,9,173,2,22,2,1,0,1,0,15
Yuba,,13,357,3,41,1,17,0,10,1,28
,Marysville,2,43,0,3,0,6,0,3,0,6
,Wheatland,0,14,0,1,0,0,0,0,0,1
,Unincorporated,11,300,3,37,1,11,0,7,1,21
,,7,217,2,33,1,9,0,7,1,16
,,4,83,1,4,0,2,0,0,0,5
Statewide Total,,"3,438","187,211","1,087","18,880","1,026","13,533",162,"10,092",480,"12,707"
