county,city,total_fatal_crashes,total_injury_crashes,alcohol_involved_fatal,alcohol_involved_injury,pedestriannvolved_fatal,pedestrian_involved_injury,bicyclist_involved_fatal,bicyclist_involved_injury,motorcycle_involved_fatal,motorcycle_involved_injury
,Calexico,1,40,0,1,0,4,1,3,0,3
,El Centro,1,117,1,16,1,14,0,13,0,5
,Imperial,0,4,0,0,0,0,0,0,0,0
,Westmorland,0,3,0,0,0,0,0,0,0,0
,Unincorporated,26,341,6,40,2,4,2,2,2,17
,,14,139,3,20,1,2,1,2,2,10
,,12,202,3,20,1,2,1,0,0,7
Inyo,,9,100,1,10,0,2,0,4,0,14
,Bishop,0,2,0,1,0,0,0,0,0,0
,Unincorporated,9,98,1,9,0,2,0,4,0,14
,,0,37,0,3,0,1,0,1,0,11
,,9,61,1,6,0,1,0,3,0,3
Kern,,138,"3,721",48,435,33,239,9,140,19,187
,Arvin,1,45,1,10,0,7,0,0,0,1
,Bakersfield,35,"1,576",7,176,16,137,3,79,5,72
,Bear Valley Springs,0,5,0,0,0,0,0,0,0,1
,California City,4,10,2,2,1,0,0,0,2,0
,Delano,3,20,1,6,1,1,0,0,0,2
,Maricopa,0,1,0,0,0,0,0,0,0,0
,McFarland,0,1,0,0,0,0,0,0,0,0
,Ridgecrest,1,59,0,9,1,2,0,12,1,4
,Shafter,1,42,1,5,0,4,0,0,0,8
,Taft,1,23,0,2,1,2,0,1,0,2
,Tehachapi,0,33,0,9,0,2,0,2,0,3
,Wasco,3,27,2,1,2,6,0,0,0,0
,Unincorporated,89,"1,879",34,215,11,78,6,46,11,94
,,35,"1,032",16,137,7,70,3,38,8,56
,,1,0,0,0,0,0,1,0,0,0
,,53,847,18,78,4,8,2,8,3,38
Kings,,13,558,6,78,5,27,0,23,1,29
,Avenal,0,13,0,1,0,1,0,1,0,0
,Corcoran,1,30,1,4,1,2,0,3,0,0
,Hanford,1,178,1,24,1,18,0,14,0,13
,Lemoore,0,39,0,7,0,4,0,4,0,2
,Unincorporated,11,298,4,42,3,2,0,1,1,14
,,8,174,4,24,3,2,0,1,1,10
,,3,124,0,18,0,0,0,0,0,4
Lake,,15,271,5,55,3,14,1,3,2,23
,Clearlake,2,14,1,2,1,4,1,0,0,2
,Lakeport,0,14,0,2,0,4,0,0,0,2
,Unincorporated,13,243,4,51,2,6,0,3,2,19
,,3,71,1,18,1,1,0,2,1,13
,,10,172,3,33,1,5,0,1,1,6
Lassen,,6,93,0,15,0,1,0,0,0,7
,Unincorporated,6,93,0,15,0,1,0,0,0,7
,,1,19,0,4,0,1,0,0,0,2
,,5,74,0,11,0,0,0,0,0,5
Los Angeles,,683,"60,183",202,"4,784",280,"5,385",42,"3,366",107,"3,883"
,Agoura Hills,2,83,0,10,1,6,0,2,1,4
,Alhambra,4,416,1,22,2,30,0,19,1,18
,Arcadia,3,266,1,11,1,19,0,14,1,13
,Artesia,1,95,0,6,0,3,0,5,1,2
,Avalon,0,11,0,1,0,1,0,1,0,1
,Azusa,1,223,1,11,0,13,0,11,0,21
,Baldwin Park,5,405,3,29,2,20,2,16,0,26
,Bell,6,228,2,24,1,15,0,11,3,18
,Bell Gardens,2,144,0,8,1,25,0,11,1,6
,Bellflower,1,388,1,38,1,27,0,19,0,20
,Beverly Hills,1,469,0,23,0,40,0,31,1,24
,Burbank,4,169,0,7,2,1,0,0,1,9
,Calabasas,0,108,0,13,0,1,0,0,0,12
,Carson,6,396,1,19,3,21,0,11,1,20
,Cerritos,5,367,1,31,2,6,1,10,0,26
,Claremont,1,202,0,21,0,10,0,11,0,13
,Commerce,4,265,2,14,1,6,0,3,0,19
,Compton,14,366,2,24,4,39,4,22,2,28
,Covina,0,88,0,6,0,11,0,2,0,1
,Cudahy,1,33,0,1,1,9,0,3,0,1
,Culver City,2,355,1,19,1,23,0,25,1,67
,Diamond Bar,2,432,0,33,1,3,0,3,0,43
,Downey,3,896,0,73,1,46,1,32,0,46
,Duarte,1,97,1,7,0,1,0,4,0,5
,El Monte,3,536,1,41,1,42,0,50,1,29
,El Segundo,0,49,0,3,0,3,0,4,0,1
,Gardena,3,276,2,41,1,24,0,14,1,14
,Glendale,2,726,1,37,0,90,0,30,1,23
,Glendora,1,281,1,18,0,8,0,11,0,22
,Hawaiian Gardens,1,31,0,1,0,5,1,2,0,2
,Hawthorne,5,389,3,42,1,36,0,26,1,34
,Hermosa Beach,1,53,1,10,0,12,0,2,0,3
,Hidden Hills,0,0,0,0,0,0,0,0,0,0
,Huntington Park,2,203,1,32,1,31,0,31,1,7
,Industry,3,178,1,11,1,9,0,2,0,7
,Inglewood,8,452,3,30,1,54,1,24,3,33
,Irwindale,2,256,0,22,0,2,0,3,0,14
,La Canada-Flintridge,0,46,0,1,0,6,0,6,0,0
,La Habra Heights,0,12,0,0,0,0,0,3,0,0
,La Mirada,4,150,1,11,2,15,0,7,0,8
,La Puente,1,73,1,2,1,4,0,8,0,2
,La Verne,2,77,0,8,1,2,0,4,0,4
,Lakewood,4,267,2,26,1,29,0,19,1,13
,Lancaster,18,986,5,51,5,55,0,24,4,37
,Lawndale,1,119,0,4,0,11,0,8,1,13
,Lomita,0,1,0,0,0,0,0,0,0,0
,Long Beach,36,"2,820",14,216,17,355,4,218,1,186
,Los Angeles,269,"29,099",85,"2,306",141,"3,094",17,"1,802",38,"1,870"
,Lynwood,4,338,1,21,0,28,1,14,2,32
,Malibu,4,123,1,14,2,10,0,6,0,19
,Manhattan Beach,0,67,0,7,0,6,0,11,0,5
,Maywood,1,32,0,1,0,6,0,1,0,3
,Monrovia,0,220,0,14,0,12,0,3,0,9
,Montebello,1,333,1,24,0,16,0,20,1,20
,Monterey Park,3,291,0,24,2,41,0,8,0,17
,Norwalk,4,528,0,34,2,27,0,24,0,35
,Palmdale,19,621,8,61,5,27,0,13,1,14
,Palos Verdes Est,0,6,0,1,0,1,0,3,0,0
,Paramount,6,196,3,15,2,18,0,12,0,9
,Pasadena,6,922,2,70,2,72,0,60,1,38
,Pico Rivera,1,142,0,8,1,13,0,7,0,7
,Pomona,14,"1,052",5,92,6,74,0,51,0,52
,Rancho Palos Verdes,2,1,0,0,1,0,0,0,0,0
,Redondo Beach,4,222,3,22,1,27,0,20,2,19
,Rosemead,3,276,0,20,2,17,1,14,0,11
,San Dimas,2,165,1,10,0,6,0,5,0,12
,San Fernando,0,94,0,9,0,6,0,5,0,4
,San Gabriel,4,174,1,17,2,14,0,16,0,9
,San Marino,1,50,0,3,1,2,0,5,0,2
,Santa Clarita,10,714,5,66,3,42,2,17,1,60
,Santa Fe Springs,5,385,1,29,3,10,0,7,2,30
,Santa Monica,2,507,1,34,2,77,0,61,0,51
,Sierra Madre,0,12,0,1,0,3,0,0,0,1
,Signal Hill,1,162,0,15,0,10,0,6,0,6
,South El Monte,3,108,0,6,2,4,0,15,1,4
,South Gate,5,489,3,48,2,40,1,35,0,21
,South Pasadena,0,75,0,5,0,8,0,5,0,2
,Temple City,1,106,0,6,0,7,0,7,0,4
,Torrance,6,614,3,35,4,34,0,33,2,37
,Vernon,4,184,2,12,0,8,1,12,1,9
,Walnut,2,73,1,3,0,3,0,5,0,1
,West Covina,5,500,2,48,1,26,0,16,0,20
,West Hollywood,0,223,0,26,0,52,0,24,0,34
,Westlake Village,2,24,1,1,0,1,0,1,0,0
,Whittier,9,400,2,30,3,25,1,15,1,24
,Unincorporated,114,"6,172",16,588,32,349,4,245,25,497
,,74,"4,096",10,439,26,330,3,239,14,261
,,0,0,0,0,0,0,0,0,0,0
,,40,"2,076",6,149,6,19,1,6,11,236
Madera,,35,658,9,100,2,23,1,22,2,33
,Chowchilla,3,13,1,0,0,2,0,3,1,0
,Madera,7,139,3,22,2,14,0,12,0,1
,Unincorporated,25,506,5,78,0,7,1,7,1,32
,,14,258,3,51,0,4,1,5,1,16
,,11,248,2,27,0,3,0,2,0,16
Marin,,20,"1,018",7,109,5,93,2,112,1,98
,Belvedere,0,0,0,0,0,0,0,0,0,0
